Estacion,Longitud,Latitud,Dpto,Fecha,Precipitación (mm)
Chañar - Comisaria,-58.7,-31.15,Federal,28/04/2020,23
Conscripto Bernardi - Comisaria,-59.08252778,-31.04852778,Federal,28/04/2020,18
El Cimarron - Comisaria,-58.97805556,-30.99083333,Federal,28/04/2020,12
Elias Romero - Distrito Moreyra - Comisaria,-58.59777778,-31.22833333,Federal,28/04/2020,5
Federal - Brigada Abigeato,-58.79747222,-30.95916667,Federal,28/04/2020,15
Federal - Jefatura Departamental,-58.7785,-30.95652778,Federal,28/04/2020,15
Nueva Vizcaya - Comisaria,-58.25,-30.85,Federal,28/04/2020,11
Sauce de Luna - Comisaria,-59.21694444,-31.24027778,Federal,28/04/2020,20
Atencio - Subcomisaria,-58.64361111,-30.63138889,Feliciano,28/04/2020,4
La Esmeralda - Comisaria,-58.65583333,-30.2925,Feliciano,28/04/2020,0
La Hierra - Destacamento Nº 52,-58.41666667,-30.45,Feliciano,28/04/2020,6
La Verbena - Comisaria,-58.56638889,-30.41972222,Feliciano,28/04/2020,0
Las Mulitas - Comisaria Nº 19,-58.98777778,-30.37361111,Feliciano,28/04/2020,5
Mulas Grandes - Destacamento Nº 54,-59.1525,-30.36888889,Feliciano,28/04/2020,5
Pte. de Hierro - Destacamento Nº 50,-58.82416667,-30.22638889,Feliciano,28/04/2020,0
Rincon del Chañar - Destacamento Nº 55,-59.05,-30.3,Feliciano,28/04/2020,0
San Victor - Subcomisaria Nº 22,-59.01666667,-30.5,Feliciano,28/04/2020,0
8º Distrito - Comisaria Nº 27,-59.5,-33,Gualeguay,28/04/2020,56
Aldea Asunción 3º - Dist. Comisaria,-59.23333333,-32.81666667,Gualeguay,28/04/2020,57
Gral. Galarza - Comisaria,-59.4,-32.71666667,Gualeguay,28/04/2020,48
Lazo - Comisaria,-59.41666667,-32.86666667,Gualeguay,28/04/2020,100
Puerto Ruiz - Comisaria,-59.36666667,-33.23333333,Gualeguay,28/04/2020,0
Alarcon - Destacamento,-59.02980556,-33.14719444,Gualeguachú,28/04/2020,0
Aldea San Antonio (Scheffer),-58.7,-32.63333333,Gualeguachú,28/04/2020,35
Costa Río Uruguay - Comisaria,-58.5,-33.18333333,Gualeguachú,28/04/2020,55
Costa San Antonio - Destacamento,-59.06666667,-32.63333333,Gualeguachú,28/04/2020,38
